,ERG
"RHOJ>GON4L,+",1
"CALCRL>FAM171A1,+",1
"MTCH1>KANSL1,+",1
"COX6C>KANSL1,+",1
"CALCRL>RHOJ,+",1
"C1orf115>RTF2,+",1
"SLC38A2>VPS13C,+",1
"RAB5C>KHDRBS1,+",1
"FKBP8>VPS13C,+",1
"FOXP1>PRDX6,+",1
"C1orf115>CTSL,+",1
"RABAC1>PIK3R3,+",1
"FKBP8>EIF3F,+",1
"GMPR2>RTF2,+",1
"EIF1B>RAB2A,+",1
"LY96>SLC25A5,+",1
"PLD3>ERG,+",1
"SURF4>UBE2E3,+",1
"RAP1B>TMEM255B,+",1
"NME1>PEBP1,+",1
"SURF4>MRPS34,+",1
"HOXB4>MRPS34,+",1
"SERPING1>RNF145,+",1
"SURF4>TNFRSF1A,+",1
"TMEM255B>UBE2E3,+",1
"EPB41L3>UBE2E3,+",1
"SERPING1>NIPBL,+",1
"TCF25>DDX46,+",1
"RPN2>HSPA2,+",1
"EPB41L3>NFIC,+",1
"PLD3>WDR45B,+",1
"TMEM255B>EIF1B,+",1
"RBFOX2>NIPBL,+",1
"SFSWAP>EIF1B,+",1
"UBE2M>PARK7,+",1
"PEBP1>SURF4,+",1
"EPB41L3>DDX46,+",1
"NME1>PSMD8,+",1
"PSMA3>UBE2M,+",1
"UBE2M>OS9,+",1
"HOXB4>LAMTOR1,+",1
"SFSWAP>ARL2,+",1
"NFE2L1>RNF145,+",1
"WDR45B>SFSWAP,+",1
"KIAA1109>SFSWAP,+",1
"NFIC>LY96,+",1
"NDRG2>LY96,+",1
"SELENOT>ENSA,+",1
"WDR45B>OS9,+",1
"GIMAP7>TTC1,+",1
"NME1>PTPRA,+",1
"UBE2M>PSMA3,+",1
"ISCU>TMEM109,+",1
"KIAA1109>TMEM109,+",1
"LY96>COX7B,+",1
"WDR45B>TTC1,+",1
"PSMA3>TTC1,+",1
"RHOJ>RNF145,+",1
"EPB41L3>NDUFB7,+",1
"PSMB5>UBE2M,+",1
"PSMB5>SLC25A5,+",1
