,PTEN
"CSDE1>MAGT1,+",1
"CYTH1>OPTN,+",1
"HNRNPUL1>APOL3,+",1
"PHF20L1>TRIP11,+",1
"CSDE1>ROCK2,+",1
"TTC1>PHF20L1,+",1
"APC>PHF20L1,+",1
"PBXIP1>HIST1H4C,+",1
"SMC4>BAG1,+",1
"HNRNPUL1>SMIM30,+",1
"TCN2>SHISA5,+",1
"KDM6B>SHISA5,+",1
"USP9X>SAP30BP,+",1
"KDM2A>TSR3,+",1
"HECTD1>TSR3,+",1
"GNA11>SYNE1,-",1
"PBXIP1>PRKAR2A,+",1
"H2AFJ>PRKAR2A,+",1
"ARID1A>SAP30BP,-",1
"STAT5B>TAOK3,+",1
"PTTG1IP>CSDE1,+",1
"EFR3A>PRKAR2A,+",1
"AK3>NR4A2,+",1
"KDM6B>SNHG7,+",1
"APC>CREBRF,+",1
"FDPS>TTC1,+",1
"NUDT4>TTC1,+",1
"PTEN>GLUD1,+",1
"ARID1A>PPP4R3A,+",1
"NFIL3>RECQL,+",1
"ITSN2>ACTR1A,+",1
"PHF20L1>RAP1B,+",1
"EFR3A>SMIM30,+",1
"CCDC88A>TDG,+",1
"PA2G4>KIF1B,+",1
"LAP3>DDX24,+",1
"ARID1A>KIF1B,+",1
"TTC1>ELMO1,+",1
"DMAC1>ELMO1,-",1
"NFIL3>GOLGA2,+",1
"EMC2>MYLK,+",1
"HNRNPUL1>PBXIP1,+",1
"GABARAPL1>KDM6B,+",1
"PSMB3>PRKD3,+",1
"USP9X>PRKD3,+",1
"PRKD3>ERGIC2,+",1
"APC>ERGIC2,+",1
"PBXIP1>ERGIC2,+",1
"KIF1B>C19orf24,+",1
"RTF1>SUGT1,+",1
"DMAC1>C19orf24,+",1
"RTF1>GABARAPL1,+",1
"NR4A2>APOL3,+",1
"DMAC1>APOL3,+",1
"KDM6B>NR4A2,+",1
"PKM>LAP3,+",1
"PTTG1IP>SYF2,+",1
"RAP1B>SMG1,+",1
"ZNHIT1>SLIRP,+",1
"AK3>ACTR1A,-",1
"NFAT5>PKM,+",1
"ARID1A>TXNDC12,+",1
"ANP32E>C1orf43,+",1
"ZNHIT1>SNX3,+",1
"PRKD3>KDELR2,+",1
"STX12>USP1,+",1
"APC>CMPK1,+",1
"ARID1A>CMPK1,+",1
"TTC1>RILPL2,+",1
"DMAC1>ARID5A,+",1
"PA2G4>MAP4,+",1
"ARID5A>MAP4,+",1
"NUDT4>SHOC2,+",1
"EIF3D>TAF15,+",1
"PRKCSH>SEC63,+",1
"ITSN2>SEC63,+",1
"NFIL3>RILPL2,+",1
"NR4A2>ARID5A,+",1
"SAP30BP>NDUFA2,+",1
"ATP5F1A>ARID5A,+",1
"EIF3D>SMC4,+",1
"SUCLG1>POLK,+",1
"ITSN2>SMC4,+",1
"SYNGR2>LIPA,+",1
"PSMC4>SAT2,-",1
"C1orf115>STAT5B,+",1
"PSMA1>STAT5B,+",1
"ACBD3>RFC1,+",1
"AK3>PRKCSH,+",1
"EIF3D>PTEN,+",1
"CCDC88A>C1GALT1C1,+",1
"C1orf43>COTL1,-",1
"PEPD>C1GALT1C1,+",1
"RTF1>COTL1,+",1
"ELMSAN1>C1GALT1C1,+",1
"PAXBP1>LIPA,+",1
"PEPD>TOMM22,+",1
"MRPS34>MYADM,+",1
"HIGD2A>ANAPC16,+",1
"C1orf115>TXNDC12,+",1
"SYNGR2>IFNAR2,+",1
"CYTH1>PPP1R3B,+",1
"TMEM173>PPIG,+",1
"ELMSAN1>CNOT4,+",1
"TMEM131>CNOT4,+",1
"FDPS>PPIG,+",1
"ACBD3>PAXBP1,-",1
"KIAA0355>CNOT4,+",1
"H2AFJ>PRKCSH,+",1
"TOMM22>ATP2A2,+",1
"NDUFS1>SUGT1,+",1
"SYNGR2>CHMP2A,+",1
"PSMB1>TMEM173,+",1
"TCN2>STAT5B,+",1
"TMEM273>RTF1,-",1
"TMEM173>PEPD,+",1
"NFIL3>PEPD,+",1
"PHF20L1>EIF3D,-",1
"MRPS34>EMC2,+",1
"SYF2>EMC2,+",1
"PRKCSH>UPF2,+",1
"YWHAH>HIGD2A,+",1
"CCDC88A>HIGD2A,+",1
"RTF1>UPF2,+",1
"CYTH1>ANKRD28,+",1
"TCN2>MRPS34,+",1
"FAM107B>SUMF2,+",1
"S100A4>HSPA12B,+",1
"PSMA1>PLCB1,+",1
"PIK3C2A>PLCB1,+",1
"PRKAR2A>H2AFJ,+",1
"ELMSAN1>PLCB1,+",1
"SUMF2>PLCB1,+",1
"PPP1R3B>HECTD1,-",1
"RTF1>LAMA5,+",1
"TINAGL1>PEPD,+",1
"DMAC1>PSMC4,+",1
"ZNHIT1>PPIG,+",1
"CNOT4>ELMSAN1,+",1
"FDPS>TCN2,+",1
"PLK3>PDAP1,+",1
"RTF1>FCHO2,+",1
"VAT1>LIPA,+",1
"SAP30BP>AES,+",1
"CYTH1>PSMF1,-",1
"SAP30BP>PSMC4,+",1
"PSMB1>PNN,+",1
"PSMB1>RFC1,+",1
"ACBD3>PNN,+",1
"MAPRE1>PSMC4,-",1
"ANP32E>TCN2,-",1
"VAT1>TCN2,+",1
"ZNHIT1>RAB5C,+",1
"ERBIN>SAP30BP,+",1
"PSMB1>SYF2,+",1
"KDM2A>FCHO2,+",1
"TMEM173>SAP30BP,+",1
"ZNHIT1>FCHO2,+",1
"MAPRE1>ASAP1,+",1
"PSMC4>MAPRE1,-",1
"VAT1>ASAP1,+",1
"SYF2>TMEM256,+",1
"ANP32E>TMEM256,-",1
"MOB4>SYF2,+",1
"RTF1>CCT5,+",1
"PLK3>SIGIRR,+",1
"ITPRIP>NME4,+",1
"PSMA1>PSIP1,+",1
"PSMA1>TLK1,+",1
"PSMC4>NMI,+",1
"SUGT1>GOLGA2,+",1
"NME4>AGFG1,+",1
"STAT5B>GOLGA2,+",1
"RAB14>MORF4L2,+",1
"SUMF2>PAXBP1,+",1
"RNF10>PLEKHG1,-",1
"USP9X>GABARAPL1,+",1
"CYTH1>SIGIRR,-",1
"FAM107B>A4GALT,+",1
"GOLGA2>SIGIRR,+",1
"PTEN>PPP4R3A,+",1
"GOLGA2>RPS17,+",1
"PSMA1>SLTM,+",1
"CYTH1>RPS17,+",1
"PEPD>RICTOR,+",1
"PSMA1>RICTOR,+",1
"RAB14>PPM1G,+",1
"SUMF2>SYNGR2,+",1
"LAP3>SYNGR2,+",1
"PSMB5>CALCOCO2,+",1
