,AR
"DHX36>PARP9,+",1
"INTS3>PRMT1,+",1
"RAB18>PRMT1,+",1
"PPP4R2>MIER1,+",1
"WBP2>NFE2L1,+",1
"CFI>DPM3,+",1
"YLPM1>NF1,+",1
"HSPD1>AR,+",1
"PARK7>PLA2G16,+",1
"KRIT1>BMP4,+",1
"CFI>SHANK3,+",1
"TGM2>CASP8AP2,+",1
"LSM12>SHANK3,+",1
"EIF2S1>SHANK3,-",1
"GATAD2B>CLDN15,+",1
"ACTR2>CASP8AP2,+",1
"ZNF580>CCT7,+",1
"ROBO1>SUN2,+",1
"THSD7A>CALM3,+",1
"KIF1B>CALM3,+",1
"CLIC2>RBMS3,+",1
"GATAD2B>CALM3,-",1
"CWC15>BMP4,+",1
"MMP24OS>TMEM259,+",1
"GATAD1>NF1,+",1
"THSD7A>TMEM259,+",1
"NAA38>ANKRD17,-",1
"PDCD7>ANKRD17,-",1
"RAB2A>WNK1,+",1
"KIDINS220>WASL,+",1
"CCT7>ZNF580,+",1
"RBMS3>SLC25A24,+",1
"CLIC2>NF1,-",1
"GPAA1>ZNF580,+",1
"MTPN>LSM12,+",1
"C8orf59>LPAR6,+",1
"HNRNPUL1>PTEN,+",1
"ZNF580>DYNLT1,-",1
"NR1D2>GNAQ,+",1
"ATP6AP2>EIF2S1,+",1
"PPP4R2>TOR1AIP1,+",1
"TFDP2>RAP1A,+",1
"TTC3>KIF1B,+",1
"EPRS>KIF1B,+",1
"KNOP1>EGLN1,+",1
"ATN1>UBE2I,+",1
"C8orf59>NDUFB7,+",1
"UBE2I>MALL,-",1
"PHIP>PSMA4,+",1
"KIDINS220>PSMA4,+",1
"EIF3J>FGD4,+",1
"CDK4>GHITM,+",1
"NCOA3>CPVL,+",1
"TTC3>PNKD,+",1
"CARHSP1>PNKD,+",1
"PHIP>SEM1,+",1
"GGCT>SEM1,+",1
"SHANK3>ATF2,+",1
"CFI>CLEC2B,+",1
"LIMA1>CLEC2B,+",1
"PHIP>EIF4A3,+",1
"PPP2R1A>EIF4A3,+",1
"PSMA4>RSF1,+",1
"POLK>KIDINS220,+",1
"KDELR1>KIDINS220,+",1
"MIER1>NUDT14,+",1
"PPP2R1A>BNIP2,+",1
"SNX6>RUNDC3B,+",1
"CARHSP1>CORO1C,+",1
"TIAL1>ARHGEF12,+",1
"LIMA1>TMEM259,+",1
"POLK>RAB2A,+",1
"NAP1L4>SPTLC2,+",1
"FKBP9>NDUFB7,+",1
"ARPC5L>IFIT3,+",1
"EIF2S1>ARPC5,+",1
"HLA-C>HLA-A,+",1
"PKM>NOSTRIN,+",1
"AR>ARPC5,-",1
"MRPL32>ROBO1,+",1
"UBE2I>MPRIP,-",1
"ARPC5L>NAP1L4,+",1
"NCOA3>NF1,+",1
"FAM84B>NF1,+",1
"PHIP>EIF3J,+",1
"NET1>IFIT3,+",1
"PPP2R1A>IFIT3,+",1
"GADD45GIP1>GANAB,-",1
"GGCT>SPPL2A,-",1
"POLK>SPTLC2,+",1
"LIMA1>PFDN1,+",1
"KNOP1>NEMF,+",1
"NUDT14>TIAL1,+",1
"PPP2R1A>TIAL1,-",1
"UBE2I>ATN1,+",1
"MAP3K2>CDC42SE1,+",1
"NCOA3>RYBP,+",1
"PPP2R1A>TFDP2,+",1
"LIMA1>TFDP2,+",1
"MAP3K2>RYBP,+",1
"TTC3>RNF7,+",1
"TIAL1>RYBP,+",1
"SUMO1>KDELR1,+",1
"PSMA4>TMEM259,+",1
"EPRS>PBRM1,+",1
"EIF2S1>PBRM1,-",1
"KRR1>ARF5,+",1
"ARF5>LRRFIP2,-",1
"MAP3K2>AFAP1L1,+",1
"EIF2S1>CALCOCO2,+",1
"AR>LRRFIP2,-",1
"ITFG1>CTBS,+",1
"PLCB4>CTBS,+",1
"RYBP>NCOA3,+",1
"C1orf115>TIAL1,+",1
"SEPT9>ARF5,+",1
"MAP3K2>ARF5,+",1
"CCT7>TMEM259,+",1
"XRN1>ARF5,+",1
"PRDX6>MRPL32,+",1
"AR>PRKAR2A,-",1
"INHBB>ESF1,+",1
"CTBS>PRKAR2A,+",1
"G3BP1>HEBP1,-",1
"ATL3>BIRC6,+",1
"MIER1>HEBP1,+",1
"MIR99AHG>FBXO7,+",1
"KRR1>FBXO7,-",1
"G3BP1>PPP2R1A,+",1
"G3BP1>BIRC6,+",1
"MAP3K2>PPP2R1A,+",1
"COPA>ERP29,+",1
"NOB1>PPP2R1A,-",1
"TIAL1>ITPRIPL2,+",1
"NAP1L4>MAP3K2,+",1
"SEPT9>AFAP1L1,+",1
"SEPT9>COPA,+",1
"RASSF9>ABI2,+",1
"JAG1>SUN2,+",1
"CTBS>ABI2,+",1
"TTC3>MAP1LC3B,+",1
"CLEC2B>MAP1LC3B,+",1
"RASSF9>INHBB,-",1
"GGCT>TBCB,+",1
"NCOA3>NOB1,+",1
"UBE2I>LCORL,+",1
"ARF5>LCORL,+",1
"PPP2R1A>ROBO1,+",1
"MAP3K2>EIF2S1,+",1
"UBE2I>PBX2,+",1
"NF1>INHBB,+",1
"NAP1L4>PBX2,+",1
"CCT7>SUN2,+",1
"PPP2R1A>RAP1A,+",1
"JAG1>INHBB,-",1
"NAA38>SUN2,+",1
"PBX1>INHBB,+",1
"XRN1>PTTG1IP,+",1
"MAP3K2>C9orf78,+",1
"CTBS>PSMC5,+",1
"NAA38>CTGF,+",1
"NCOA3>ADAR,+",1
"KRR1>RAP1A,+",1
"UBE2I>ADNP,+",1
"ITPRIPL2>ADNP,+",1
"MALL>PPP1R13B,+",1
"G3BP1>UGCG,+",1
"PNKD>CALM3,+",1
"EIF2S1>RAP1A,+",1
"ATP6AP2>PPP4R2,+",1
"TFDP2>SLK,+",1
"ROBO1>RTF2,-",1
"ADCY4>RNF213,+",1
"GNAI3>STMN1,+",1
"ATP6AP2>RNF213,+",1
"SH3BGRL2>POLR2K,+",1
"NR1D2>POLR2K,+",1
"G3BP1>DNMT1,+",1
"ZMYM4>DNMT1,+",1
"NF1>STMN1,+",1
"ASPH>DNMT1,+",1
"AR>STMN1,-",1
"ITFG1>SETD2,+",1
"TMA7>THSD7A,+",1
"CDC42SE1>HADHA,-",1
"ZBTB38>REV1,+",1
"RPS17>GNAI3,+",1
"NR1D2>RAP1A,+",1
"CLIC2>GNAI3,+",1
"CLIC2>DENR,+",1
"AR>DENR,+",1
"NAA38>CRYBG3,+",1
"LAMTOR4>OTUD6B-AS1,-",1
"CLEC2B>OTUD6B-AS1,+",1
"TGM2>CFI,+",1
"HLA-DQA2>EIF3M,+",1
"ARFGAP3>RNF7,+",1
"G3BP1>RNF7,+",1
"LAPTM4B>RNF7,+",1
"CTBS>SLC39A10,+",1
"SPCS3>RTF2,+",1
"SH3BGRL2>RTF2,+",1
"CTBS>RTF2,+",1
"RNF213>CLEC2B,+",1
"ROBO1>PLCB4,+",1
"TMEM259>CTBS,+",1
"RPS17>CTBS,+",1
"ATP6AP2>CTBS,+",1
"LAMTOR4>NFE2L1,+",1
"POLR2K>NFE2L1,+",1
"ZMYM4>EIF2S1,+",1
"EIF2S1>PRDX6,+",1
"GBP2>LAPTM4B,+",1
"PPP4R2>ELMSAN1,+",1
"NAA38>DPYSL2,+",1
"PLCB4>TRIOBP,+",1
"RPS17>CNBP,+",1
"G3BP1>REV1,+",1
"RPS17>STMN1,+",1
"GNAI3>PCYOX1,+",1
"NFE2L1>VGLL4,+",1
"PLCB4>ARFGAP3,+",1
"S100A16>NUCKS1,+",1
"HNRNPA1>SH3BGRL2,+",1
"CLIC2>RAB21,+",1
"S100A16>ASPH,+",1
"NR1D2>ALG13,+",1
"ARFGAP3>NR1D2,+",1
"CTBS>NR1D2,-",1
"CLTA>NR1D2,+",1
"REV1>NFU1,+",1
"GBP2>MAP3K2,+",1
"MRPS10>ADAR,+",1
"GBP2>ADAR,+",1
"MRPS10>ARF5,+",1
"MRPL32>PPP4R2,+",1
"DEK>BCL10,+",1
"ALG13>BCL10,+",1
"ARFGAP3>UBE2L3,+",1
"SH3BGRL2>UBE2L3,+",1
"CCT7>NSUN6,-",1
"PBX1>NSUN6,+",1
"REV1>UBE2L3,+",1
"ASPH>GPAA1,+",1
"MAP3K2>GPAA1,-",1
"SLK>AR,+",1
"SEM1>PPP4R2,+",1
"PLCB4>RAB14,-",1
"GGCT>PPP4R2,+",1
"PHIP>ARHGEF12,+",1
"FBXO7>NSUN6,-",1
"ARFGAP3>SELENOH,+",1
"EIF3J>DDX21,+",1
"LIMA1>SSFA2,+",1
"NCOA3>CCT7,+",1
"SEM1>POLR2I,+",1
"PPP2R1A>NMT1,+",1
"PPP1R13B>MYDGF,+",1
"SURF6>MRPL32,+",1
"POLR2I>MRPL32,+",1
"PSMA1>CCDC68,+",1
"PNKD>PFDN1,+",1
"TFDP2>CCDC68,+",1
"POLK>NET1,+",1
"LAMTOR4>BCL10,+",1
"MRPS10>ATP11A,+",1
"ALG13>ITFG1,+",1
"AHNAK2>MIEN1,+",1
"AHNAK2>TMEM259,+",1
"LAMTOR4>TMEM259,+",1
"PPP4R2>TMEM259,+",1
"TMEM259>SPCS3,+",1
"ASPH>S100A16,+",1
"MRPS10>RND1,+",1
"ARFGAP3>GBP2,+",1
"ALG13>FBXW7,+",1
"BCL10>FBXW7,+",1
"EIF3M>SMC4,+",1
